,title,release_date,colored,genre,language,country,rating,lead_actor,director_name,lead_actor_fb_likes,cast_fb_likes,director_fb_likes,movie_fb_likes,imdb_score,total_reviews,duration,revenue_eur,budget_eur
2302,Evan Almighty,2007-08-12,True,Comedy,English,United States of America,PG,Jimmy Bennett,Tom Shadyac,87000.0,108016,293,2000,5.4,186.0,96.0,82251857.62322643,143524973.34536207
2303,Fantastic 4: Rise of the Silver Surfer,2007-02-27,True,Action,English,United States of America,PG,Chris Evans,Tim Story,11000.0,15302,167,0,5.6,262.0,92.0,108193498.7287788,106618551.62798326
2304,Finishing the Game: The Search for a New Bruce Lee,2007-07-19,True,Comedy,English,United States of America,Unrated,Monique Gabriela Curnen,Justin Lin,239.0,734,681,155,6.2,35.0,84.0,43344.541950299346,410071.35241532023
2305,Freedom Writers,2007-05-11,True,Biography,English,Germany,PG-13,Hunter Parrish,Richard LaGravenese,2000.0,3994,98,10000,7.5,84.0,123.0,36581633.0,21000000.0
2306,Funny Games,2007-11-27,True,Crime,English,United States of America,R,Naomi Watts,Michael Haneke,6000.0,6748,0,0,6.5,250.0,111.0,1061789.5513819403,12302140.572459606
2307,Georgia Rule,2007-11-23,True,Comedy,English,United States of America,R,Hector Elizondo,Garry Marshall,995.0,4039,0,681,5.9,88.0,113.0,15486656.278192405,16402854.09661281
2308,Ghost Rider,2007-08-15,True,Action,English,United States of America,PG-13,Nicolas Cage,Mark Steven Johnson,12000.0,14017,160,0,5.2,276.0,123.0,94974654.3098499,90215697.53137045
2309,Good Luck Chuck,2007-12-28,True,Comedy,English,United States of America,R,Dane Cook,Mark Helfrich,1000.0,2822,7,0,5.6,127.0,101.0,28705510.538833752,20503567.62076601
2310,Gracie,2007-04-01,True,Biography,English,United States of America,PG-13,Emma Bell,Davis Guggenheim,702.0,2007,49,313,6.2,65.0,95.0,2423553.678340031,7381284.343475764
2311,Grindhouse,2007-03-30,True,Action,English,United States of America,R,Quentin Tarantino,Robert Rodriguez,16000.0,22186,0,0,7.6,250.0,189.0,20529022.38989584,43467563.356023945
2312,Hairspray,2007-10-16,True,Comedy,English,United States of America,PG,Jerry Stiller,Adam Shankman,719.0,1673,163,0,6.7,219.0,117.0,97451891.24907734,61510702.862298034
2313,Hannibal Rising,2007-12-09,True,Crime,English,United Kingdom,R,Li Gong,Peter Webber,879.0,1344,73,3000,6.2,209.0,131.0,30812347.012639903,55682387.660782896
2314,Harry Potter and the Order of the Phoenix,2007-10-21,True,Adventure,English,United Kingdom,PG-13,Robert Pattinson,David Yates,21000.0,33433,282,0,7.5,329.0,138.0,325186108.35792637,167047162.98234868
2315,Hitman,2007-02-18,True,Action,English,France,R,Henry Ian Cusick,Xavier Gens,866.0,2124,87,0,6.3,193.0,94.0,39687528.0,24000000.0
2316,Hostel: Part II,2007-07-13,True,Horror,English,United States of America,R,Jay Hernandez,Eli Roth,1000.0,4707,0,0,5.4,252.0,94.0,14389249.569425078,8201427.048306405
2317,Hot Fuzz,2007-09-03,True,Action,English,United Kingdom,R,Bill Bailey,Edgar Wright,175.0,485,1000,17000,7.9,285.0,121.0,26303007.962581437,8909182.025725264
2318,I Am Legend,2007-07-26,True,Drama,English,United States of America,PG-13,Will Smith,Francis Lawrence,10000.0,13076,508,11000,7.2,323.0,104.0,210273284.67153284,123021405.72459607
2319,I'm Not There.,2007-05-04,False,Biography,English,United States of America,R,Christian Bale,Todd Haynes,23000.0,36398,162,0,7.0,231.0,135.0,3281490.199294677,16402854.09661281
2320,In the Land of Women,2007-01-16,True,Comedy,English,United States of America,PG-13,Kristen Stewart,Jon Kasdan,17000.0,20312,21,1000,6.5,81.0,97.0,9057200.852948412,8201427.048306405
2321,In the Name of the King: A Dungeon Siege Tale,2007-09-24,True,Action,English,Germany,PG-13,Jason Statham,Uwe Boll,26000.0,26564,892,0,3.8,140.0,156.0,4535117.0,60000000.0
2322,In the Shadow of the Moon,2007-08-20,False,Documentary,English,United Kingdom,PG,John F. Kennedy,David Sington,168.0,408,90,0,8.1,107.0,100.0,1262931.1208864637,2227295.506431316
2323,Into the Wild,2007-01-03,True,Adventure,English,United States of America,R,Kristen Stewart,Sean Penn,17000.0,18752,0,76000,8.2,274.0,148.0,15051631.263839906,12302140.572459606
2324,Juno,2007-12-06,True,Comedy,English,United States of America,PG-13,J.K. Simmons,Jason Reitman,24000.0,28817,655,10000,7.5,387.0,96.0,117684605.92143032,6151070.286229803
2325,Kiss the Bride,2007-06-12,True,Comedy,English,United States of America,R,Tori Spelling,C. Jay Cox,396.0,2310,6,60,5.7,9.0,100.0,26192.897564176164,410071.35241532023
2326,Knocked Up,2007-01-29,True,Comedy,English,United States of America,R,Harold Ramis,Judd Apatow,11000.0,12874,0,0,7.0,251.0,133.0,121983289.59238906,24604281.144919213
2327,Lars and the Real Girl,2007-04-02,True,Comedy,English,United States of America,PG-13,Ryan Gosling,Craig Gillespie,33000.0,34351,44,19000,7.4,226.0,106.0,4879597.309931927,9841712.457967686
2328,License to Wed,2007-06-21,True,Comedy,English,United States of America,PG-13,Robin Williams,Ken Kwapis,49000.0,52566,42,913,5.3,120.0,91.0,35916215.041417204,28704994.669072416
2329,Lions for Lambs,2007-10-01,True,Drama,English,United States of America,R,Meryl Streep,Robert Redford,11000.0,32875,0,0,6.2,227.0,92.0,12300557.697039284,28704994.669072416
2330,Live Free or Die Hard,2007-02-25,True,Action,English,United States of America,PG-13,Bruce Willis,Len Wiseman,13000.0,13961,235,0,7.2,354.0,129.0,110326256.04855244,90215697.53137045
2331,Love in the Time of Cholera,2007-06-17,True,Drama,English,United States of America,R,Marcela Mar,Mike Newell,267.0,538,179,0,6.4,115.0,139.0,3760260.805380136,36906421.71737882
2332,Lucky You,2007-05-13,True,Drama,English,United States of America,PG-13,Robert Downey Jr.,Curtis Hanson,21000.0,26334,161,672,5.9,106.0,124.0,4720155.827113917,45107848.76568522
2333,Married Life,2007-11-26,True,Crime,English,United States of America,PG-13,David Richmond-Peck,Ira Sachs,60.0,141,60,314,6.3,121.0,91.0,1235953.4158943654,9841712.457967686
2334,Martian Child,2007-08-17,True,Comedy,English,United States of America,PG,Oliver Platt,Menno Meyjes,1000.0,2495,43,0,6.8,118.0,106.0,6140331.337652751,22143853.030427292
2335,Michael Clayton,2007-01-09,True,Crime,English,United States of America,R,Tom Wilkinson,Tony Gilroy,1000.0,3284,209,0,7.3,299.0,119.0,40207470.6798983,20503567.62076601
2336,MoliÃ¨re,2007-08-25,True,Comedy,French,France,PG-13,Romain Duris,Laurent Tirard,809.0,1651,2,815,7.3,78.0,120.0,634277.0,16000000.0
2337,Mongol: The Rise of Genghis Khan,2007-08-26,True,Adventure,Mongolian,Russia,R,Tadanobu Asano,Sergey Bodrov,627.0,653,44,0,7.3,160.0,126.0,62938.016191382405,220771.50811224908
2338,Mr. Bean's Holiday,2007-09-25,True,Comedy,English,United Kingdom,PG,Lily Atkinson,Steve Bendelack,328.0,794,68,0,6.3,151.0,90.0,36252809.17645749,27841193.830391448
2339,My Blueberry Nights,2007-06-22,True,Drama,English,Hong Kong,PG-13,Natalie Portman,Kar-Wai Wong,20000.0,20364,0,0,6.7,192.0,95.0,91691.4907121398,1057842.8468666694
2340,My Name Is Bruce,2007-03-26,True,Comedy,English,United States of America,R,Ted Raimi,Bruce Campbell,634.0,1238,0,0,6.3,100.0,84.0,141938.81735421962,1230214.0572459607
2341,Nancy Drew,2007-02-10,True,Comedy,English,United States of America,PG,Kay Panabaker,Andrew Fleming,720.0,3327,26,590,5.9,93.0,99.0,20983092.758139916,16402854.09661281
2342,No Country for Old Men,2007-09-03,True,Crime,English,United States of America,R,Kelly Macdonald,Ethan Coen,2000.0,4738,1000,21000,8.1,488.0,122.0,60914873.287952095,20503567.62076601
2343,No End in Sight,2007-06-15,True,Documentary,English,United States of America,Unrated,Campbell Scott,Charles Ferguson,393.0,446,117,0,8.3,79.0,102.0,1172955.7943082096,1640285.409661281
2344,No Reservations,2007-10-05,True,Comedy,English,United States of America,PG,ZoÃ« Kravitz,Scott Hicks,943.0,3497,96,0,6.3,171.0,104.0,35346224.883129664,22963995.73525793
2345,Ocean's Thirteen,2007-10-11,True,Crime,English,United States of America,PG-13,Al Pacino,Steven Soderbergh,14000.0,43499,0,0,6.9,238.0,122.0,96075178.3810383,69712129.91060443
2346,Once,2007-12-05,True,Drama,English,Ireland,R,Glen Hansard,John Carney,200.0,332,109,26000,7.9,232.0,85.0,9437933.0,180000.0
2347,P.S. I Love You,2007-12-22,True,Drama,English,United States of America,PG-13,Gerard Butler,Richard LaGravenese,18000.0,18726,98,20000,7.1,131.0,126.0,44025955.87632248,24604281.144919213
2348,Paranormal Activity,2007-12-16,True,Horror,English,United States of America,R,Micah Sloat,Oren Peli,189.0,330,110,12000,6.3,409.0,84.0,88507572.3775937,12302.140572459606
2349,Persepolis,2007-07-06,True,Animation,French,France,PG-13,Catherine Deneuve,Vincent Paronnaud,963.0,1754,10,14000,8.0,242.0,89.0,4443403.0,7300000.0
2350,Pirates of the Caribbean: At World's End,2007-11-23,True,Action,English,United States of America,PG-13,Johnny Depp,Gore Verbinski,40000.0,48350,563,0,7.1,302.0,169.0,253755558.10711062,246042811.44919214
2351,Premonition,2007-10-22,True,Drama,English,United States of America,PG-13,Nia Long,Mennan Yapo,826.0,1825,9,0,5.9,184.0,96.0,39245964.07774953,16402854.09661281
2352,Ratatouille,2007-03-27,True,Animation,English,United States of America,G,Janeane Garofalo,Brad Bird,1000.0,4764,663,10000,8.0,318.0,111.0,169306563.60206676,123021405.72459607
2353,Redacted,2007-10-22,True,Crime,English,United States of America,R,Mike Figueroa,Brian De Palma,343.0,408,0,559,6.2,133.0,90.0,53380.62822931189,4100713.5241532023
2354,Reign Over Me,2007-08-19,True,Drama,English,United States of America,R,Adam Sandler,Mike Binder,11000.0,17050,57,0,7.5,154.0,124.0,16125635.200524889,16402854.09661281
2355,Rendition,2007-12-12,True,Drama,English,United States of America,R,J.K. Simmons,Gavin Hood,24000.0,50950,151,0,6.8,131.0,122.0,7926118.264578036,22553924.38284261
2356,Reno 911!: Miami,2007-06-19,True,Comedy,English,United States of America,R,Wendi McLendon-Covey,Robert Ben Garant,655.0,2737,134,441,5.9,89.0,84.0,16681500.861149838,8201427.048306405
2357,Resident Evil: Extinction,2007-10-11,True,Action,English,France,R,Milla Jovovich,Russell Mulcahy,14000.0,16225,85,0,6.3,216.0,94.0,50648679.0,45000000.0
2358,Resurrecting the Champ,2007-02-10,True,Drama,English,United States of America,PG-13,Harry Lennix,Rod Lurie,748.0,2417,37,689,6.8,104.0,112.0,2599379.972115148,10661855.162798326
2359,Rush Hour 3,2007-04-05,True,Action,English,United States of America,PG-13,Tzi Ma,Brett Ratner,268.0,1125,420,0,6.2,162.0,91.0,114886287.21397522,114819978.67628966
2360,Savage Grace,2007-04-30,True,Drama,English,Spain,Unrated,Eddie Redmayne,Tom Kalin,13000.0,15093,4,0,5.9,121.0,97.0,434417.0,4600000.0
2361,Saw IV,2007-07-27,True,Horror,English,United States of America,R,Costas Mandylor,Darren Lynn Bousman,723.0,3492,163,0,5.9,190.0,96.0,51890641.35159517,8201427.048306405
2363,Shooter,2007-06-23,True,Action,English,United States of America,R,Tate Donovan,Antoine Fuqua,650.0,1640,845,0,7.2,198.0,124.0,38526353.64553432,50028704.994669065
2364,Shrek the Third,2007-04-16,True,Adventure,English,United States of America,PG,Justin Timberlake,Chris Miller,3000.0,4705,50,0,6.1,227.0,93.0,263025231.69031408,131222832.77290247
2365,Sicko,2007-11-23,True,Documentary,English,United States of America,PG-13,Michael Moore,Michael Moore,909.0,1633,909,0,8.0,263.0,123.0,20118521.282703187,7381284.343475764
2366,Spider-Man 3,2007-10-02,True,Action,English,United States of America,PG-13,J.K. Simmons,Sam Raimi,24000.0,46055,0,0,6.2,392.0,156.0,276002872.959895,211596817.84630522
2367,Stardust,2007-01-11,True,Adventure,English,United Kingdom,PG-13,Henry Cavill,Matthew Vaughn,15000.0,16034,905,15000,7.7,228.0,127.0,42703271.89709895,77955342.72509605
2368,Stomp the Yard,2007-05-01,True,Drama,English,United States of America,PG-13,Chris Brown,Sylvain White,997.0,3544,41,0,5.2,86.0,109.0,50320857.04912654,11481997.867628966
2369,Sunshine,2007-05-04,True,Adventure,English,United Kingdom,R,Chris Evans,Danny Boyle,11000.0,11623,0,15000,7.3,308.0,107.0,4092735.675705774,28954841.583607104
2370,Superbad,2007-02-22,True,Comedy,English,United States of America,R,Emma Stone,Greg Mottola,15000.0,17584,99,0,7.6,256.0,119.0,99617178.70909537,16402854.09661281
2371,Surf's Up,2007-03-25,True,Animation,English,United States of America,PG,Jeff Bridges,Ash Brannon,12000.0,25590,9,0,6.8,154.0,85.0,48279909.784302466,82014270.48306404
2372,Sydney White,2007-09-19,True,Comedy,English,United States of America,PG-13,Danny Strong,Joe Nussbaum,714.0,2785,18,0,6.3,72.0,108.0,9597383.744771589,13532354.629705567
2373,Ta Ra Rum Pum,2007-02-24,True,Comedy,Hindi,United States of America,Unrated,Saif Ali Khan,Siddharth Anand,532.0,902,5,108,5.4,16.0,153.0,715691.7903715245,4920856.228983843
2374,Taxi to the Dark Side,2007-12-24,True,Crime,English,United States of America,R,Alex Gibney,Alex Gibney,141.0,313,141,0,7.7,84.0,53.0,225261.21545148853,820142.7048306405
2375,The Assassination of Jesse James by the Coward Robert Ford,2007-04-18,True,Biography,English,United States of America,R,Brad Pitt,Andrew Dominik,11000.0,22516,181,0,7.5,273.0,160.0,3202642.499794964,24604281.144919213
2376,The Bourne Ultimatum,2007-09-04,True,Action,English,United States of America,PG-13,Matt Damon,Paul Greengrass,13000.0,17369,521,0,8.1,329.0,115.0,186284827.35996062,90215697.53137045
2377,The Brothers Solomon,2007-06-26,True,Comedy,English,United States of America,R,Jenna Fischer,Bob Odenkirk,966.0,3307,0,319,5.3,51.0,93.0,738887.8864922496,8201427.048306405
2378,The Bucket List,2007-08-26,True,Adventure,English,United States of America,PG-13,Morgan Freeman,Rob Reiner,11000.0,14868,0,22000,7.4,207.0,97.0,76644021.97982448,36906421.71737882
2379,The Game Plan,2007-11-26,True,Comedy,English,United States of America,PG,Dwayne Johnson,Andy Fickman,12000.0,15170,99,0,6.2,112.0,110.0,74335260.39530878,18043139.50627409
2380,The Golden Compass,2007-01-28,True,Adventure,English,United States of America,PG-13,Christopher Lee,Chris Weitz,16000.0,24106,129,0,6.1,251.0,113.0,57478486.83670958,147625686.86951527
2381,The Good Night,2007-03-24,True,Comedy,English,United States of America,R,Stephen Graham,Jake Paltrow,1000.0,1245,17,445,5.9,50.0,93.0,16714.508324448452,12302140.572459606
2382,The Great Debaters,2007-12-07,True,Biography,English,United States of America,PG-13,Denzel Washington,Denzel Washington,18000.0,22745,18000,0,7.6,112.0,126.0,24789751.496760435,12302140.572459606
2383,The Hammer,2007-10-26,True,Comedy,English,United States of America,R,John Enos III,Charles Herman-Wurmfeld,465.0,897,0,337,7.3,73.0,88.0,363026.326580825,697121.2991060443
2384,The Hills Have Eyes II,2007-03-26,True,Horror,English,United States of America,R,Jeff Kober,Martin Weisz,919.0,2559,7,0,5.1,161.0,89.0,17060070.532272615,12302140.572459606
2385,The Hunting Party,2007-04-23,True,Adventure,English,United States of America,R,James Brolin,Richard Shepard,499.0,504,47,0,6.9,94.0,101.0,718995.3251865824,20503567.62076601
2386,The Invasion,2007-05-04,True,Sci-Fi,English,United States of America,PG-13,Roger Rees,Oliver Hirschbiegel,1000.0,2323,101,0,5.9,232.0,99.0,12360792.257852865,65611416.38645124
2387,The Kingdom,2007-02-11,True,Action,English,United States of America,R,Jennifer Garner,Peter Berg,3000.0,5187,532,0,7.1,234.0,110.0,38921061.264660046,57409989.33814483
2388,The Kite Runner,2007-06-17,True,Drama,Dari,United States of America,PG-13,Mustafa Haidari,Marc Forster,283.0,904,395,0,7.6,201.0,128.0,12956538.177642908,16402854.09661281
2389,The Last Legion,2007-04-18,True,Action,English,United Kingdom,PG-13,Colin Firth,Doug Lefler,14000.0,14625,4,0,5.4,90.0,102.0,6606225.290940476,38977671.36254802
2390,The Last Sin Eater,2007-10-15,True,Drama,English,United States of America,PG-13,Henry Thomas,Michael Landon Jr.,861.0,2161,84,285,5.9,18.0,117.0,311361.4368900188,1804313.950627409
2391,The Legend of God's Gun,2007-08-13,True,Western,English,United States of America,R,Joseph Campanella,Mike Bruce,32.0,72,6,13,4.1,3.0,78.0,199924.54687115556,24604.281144919212
2392,The Life Before Her Eyes,2007-07-13,True,Drama,English,United States of America,R,Eva Amurri Martino,Vadim Perelman,797.0,2073,26,1000,6.4,78.0,90.0,248863.2822111047,6561141.638645124
2393,The Living Wake,2007-08-22,True,Comedy,English,United States of America,PG-13,Jim Gaffigan,Sol Tryon,472.0,1047,0,339,6.5,28.0,91.0,9886.82030673337,410071.35241532023
2394,The Mist,2007-02-06,True,Horror,English,United States of America,R,Toby Jones,Frank Darabont,2000.0,5371,0,20000,7.2,330.0,126.0,20989610.432215203,14762568.686951527
2395,The Number 23,2007-06-12,True,Mystery,English,United States of America,R,Logan Lerman,Joel Schumacher,8000.0,10938,541,10000,6.4,224.0,98.0,28757264.003936682,26244566.554580495
2396,The Orphanage,2007-07-06,True,Drama,Spanish,Spain,R,Geraldine Chaplin,J.A. Bayona,382.0,954,171,11000,7.5,300.0,105.0,7159147.0,3400000.0
2397,The Reaping,2007-08-22,True,Horror,English,United States of America,R,Stephen Rea,Stephen Hopkins,327.0,960,81,0,5.7,190.0,99.0,20599932.7482982,32805708.19322562
2398,The Simpsons Movie,2007-08-22,True,Adventure,English,United States of America,PG-13,Albert Brooks,David Silverman,745.0,3086,30,0,7.4,299.0,87.0,150194677.27384564,61510702.862298034
2399,The Ten,2007-05-26,True,Comedy,English,United States of America,R,Jon Hamm,David Wain,4000.0,4883,136,915,5.0,65.0,96.0,628628.7213975231,4305749.200360863
2400,The Warlords,2007-04-15,True,Action,Mandarin,Hong Kong,R,Jet Li,Peter Ho-Sun Chan,5000.0,6267,31,0,7.1,106.0,113.0,13643.845470316928,4231371.387466677
2401,There Will Be Blood,2007-08-19,True,Drama,English,United States of America,R,Jim Meskimen,Paul Thomas Anderson,272.0,533,0,16000,8.1,398.0,158.0,32985239.89174116,20503567.62076601
2402,Things We Lost in the Fire,2007-08-03,True,Drama,English,United States of America,R,Alison Lohman,Susanne Bier,1000.0,1889,369,0,7.2,146.0,118.0,2336703.0263265804,13122283.277290247
2403,This Christmas,2007-02-20,True,Comedy,English,United States of America,PG-13,Mekhi Phifer,Preston A. Whitmore II,1000.0,6554,17,0,6.1,37.0,117.0,40286995.8172722,10661855.162798326
2404,Timecrimes,2007-06-20,True,Horror,Spanish,Spain,R,Karra Elejalde,Nacho Vigalondo,123.0,239,76,0,7.2,173.0,66.0,38108.0,2600000.0
2405,TMNT,2007-06-10,True,Action,English,Hong Kong,PG,Chris Evans,Kevin Munroe,11000.0,16571,14,0,6.3,191.0,87.0,5726377.946092328,3596665.679346676
2406,Trade,2007-02-25,True,Crime,English,Germany,R,Zack Ward,Marco Kreuzpaintner,662.0,1952,7,0,7.5,69.0,120.0,214202.0,12000000.0
2407,Transformers,2007-09-13,True,Action,English,United States of America,PG-13,Zack Ward,Michael Bay,662.0,2333,0,8000,7.1,396.0,144.0,261428618.05954233,123021405.72459607
2408,Waitress,2007-12-21,True,Comedy,English,United States of America,PG-13,Lew Temple,Adrienne Shelly,597.0,1981,191,0,7.1,173.0,108.0,15638178.463052569,1640285.409661281
2409,Walk Hard: The Dewey Cox Story,2007-08-30,True,Comedy,English,United States of America,R,Tim Meadows,Jake Kasdan,553.0,1082,52,0,6.7,171.0,120.0,15022677.765931271,28704994.669072416
2410,War,2007-05-03,True,Action,English,United States of America,R,Jason Statham,Philip G. Atwell,26000.0,33565,5,0,6.3,119.0,103.0,18426141.22857377,20503567.62076601
2411,We Own the Night,2007-04-13,True,Crime,English,United States of America,R,Robert Duvall,James Gray,3000.0,3681,115,0,6.9,222.0,117.0,23425882.88362175,17222996.80144345
2412,When Did You Last See Your Father?,2007-11-25,True,Biography,English,United Kingdom,PG-13,Colin Firth,Anand Tucker,14000.0,15848,14,429,6.9,90.0,92.0,1192984.0191547414,8909182.025725264
2413,Who's Your Caddy?,2007-01-12,True,Comedy,English,United States of America,PG-13,Jeffrey Jones,Don Michael Paul,692.0,3128,70,446,2.0,25.0,93.0,4670145.165258755,5740998.933814483
2414,Why Did I Get Married?,2007-09-21,True,Comedy,English,United States of America,PG-13,Michael Jai White,Tyler Perry,2000.0,6510,0,1000,5.6,41.0,113.0,45259346.34626424,12302140.572459606
2415,You Kill Me,2007-05-02,True,Comedy,English,United States of America,R,Philip Baker Hall,John Dahl,497.0,776,131,830,6.5,121.0,93.0,1990364.1433609447,3280570.819322562
2416,Zodiac,2007-04-15,True,Crime,English,United States of America,R,Robert Downey Jr.,David Fincher,21000.0,36928,21000,12000,7.7,377.0,162.0,27104365.619617812,53309275.81399163
2417,21,2008-12-09,True,Crime,English,United States of America,PG-13,Kevin Spacey,Robert Luketic,18000.0,25661,126,0,6.8,144.0,123.0,66562261.13343721,28704994.669072416
2418,27 Dresses,2008-02-12,True,Comedy,English,United States of America,PG-13,Judy Greer,Anne Fletcher,2000.0,2978,98,0,6.1,175.0,111.0,62992136.47174608,24604281.144919213
2419,An American Carol,2008-05-17,True,Comedy,English,United States of America,PG-13,Chriss Anglin,David Zucker,885.0,2907,119,797,4.3,45.0,83.0,5742409.579266792,9841712.457967686
2420,Australia,2008-12-19,True,Adventure,English,Australia,PG-13,Essie Davis,Baz Luhrmann,309.0,921,1000,0,6.6,245.0,165.0,30894483.446598914,81052434.69044204
2421,Baby Mama,2008-07-16,True,Comedy,English,United States of America,PG-13,Tina Fey,Michael McCullers,2000.0,6930,5,0,6.0,145.0,99.0,49429459.52595751,24604281.144919213
2422,Babylon A.D.,2008-02-06,True,Action,English,France,PG-13,Vin Diesel,Mathieu Kassovitz,14000.0,15990,326,0,5.6,164.0,101.0,22531698.0,70000000.0
2423,Bangkok Dangerous,2008-12-26,True,Action,English,United States of America,R,Nicolas Cage,Danny Pang,12000.0,12166,15,0,5.4,125.0,99.0,12531518.08414664,32805708.19322562
2424,Be Kind Rewind,2008-01-05,True,Comedy,English,United Kingdom,PG-13,Quinton Aaron,Michel Gondry,734.0,1778,1000,0,6.4,248.0,102.0,12438923.102622641,22272955.06431316
2425,Bedtime Stories,2008-08-24,True,Comedy,English,United States of America,PG,Adam Sandler,Adam Shankman,11000.0,12831,163,0,6.1,144.0,99.0,90210651.19330762,65611416.38645124
2426,Beverly Hills Chihuahua,2008-03-04,True,Adventure,English,United States of America,PG,Jamie Lee Curtis,Raja Gosnell,2000.0,4729,67,0,3.7,100.0,91.0,77501247.43705404,16402854.09661281
2427,Blindness,2008-11-09,True,Drama,English,Canada,R,Don McKellar,Fernando Meirelles,45.0,142,353,0,6.6,229.0,121.0,1963076.1369443024,15968318.855390903
2428,Body of Lies,2008-05-30,True,Action,English,United States of America,R,Leonardo DiCaprio,Ridley Scott,29000.0,29824,0,0,7.1,238.0,128.0,32297582.219306156,57409989.33814483
2429,Bolt,2008-01-11,True,Adventure,English,United States of America,PG,ChloÃ« Grace Moretz,Byron Howard,17000.0,20007,59,0,6.9,225.0,96.0,93540210.77667513,123021405.72459607
2430,Bottle Shock,2008-07-10,True,Comedy,English,United States of America,PG-13,Alan Rickman,Randall Miller,25000.0,25676,19,0,6.8,109.0,110.0,3313858.771426228,4100713.5241532023
2431,Burn After Reading,2008-09-03,True,Comedy,English,United States of America,R,J.K. Simmons,Ethan Coen,24000.0,36093,1000,0,7.0,341.0,96.0,49486501.27122119,30345280.078733698
2432,Cadillac Records,2008-12-22,True,Biography,English,United States of America,R,Cedric the Entertainer,Darnell Martin,436.0,1141,67,0,7.0,81.0,109.0,6671218.732059377,9841712.457967686
2433,Call + Response,2008-07-09,True,Documentary,English,United States of America,PG-13,Matisyahu,Justin Dillon,178.0,279,0,26,7.5,7.0,86.0,176482.40793898137,164028.5409661281
2434,Changeling,2008-02-18,True,Crime,English,United States of America,R,Angelina Jolie Pitt,Clint Eastwood,11000.0,12840,16000,14000,7.8,264.0,141.0,29285103.748052157,45107848.76568522
2435,Choke,2008-09-24,True,Comedy,English,United States of America,R,Anjelica Huston,Clark Gregg,1000.0,3608,0,0,6.5,159.0,92.0,2400200.9349626834,2460428.1144919214
2436,City of Ember,2008-10-13,True,Adventure,English,United States of America,PG,Bill Murray,Gil Kenan,13000.0,15494,27,0,6.5,118.0,90.0,6455911.588616419,45107848.76568522
2437,Cloverfield,2008-11-10,True,Action,English,United States of America,PG-13,Mike Vogel,Matt Reeves,2000.0,3958,198,0,7.0,459.0,85.0,65639548.921512336,20503567.62076601
2438,College,2008-09-06,True,Comedy,English,United States of America,R,Drake Bell,Deb Hagan,1000.0,4484,0,422,4.6,42.0,94.0,3849683.424915935,5330927.581399163
2439,Death Race,2008-10-12,True,Action,English,United States of America,R,Jason Statham,Paul W.S. Anderson,26000.0,28643,545,0,6.4,230.0,111.0,29578372.836873613,36906421.71737882
2440,Delgo,2008-08-17,True,Adventure,English,United States of America,PG,Eric Idle,Marc F. Adler,795.0,2449,0,211,4.4,41.0,94.0,419847.4534569015,32805708.19322562
2441,Disaster Movie,2008-02-22,True,Comedy,English,United States of America,PG-13,Carmen Electra,Jason Friedberg,869.0,2857,82,0,1.9,111.0,88.0,11625239.071598457,20503567.62076601
2442,Dolphins and Whales 3D: Tribes of the Ocean,2008-06-23,True,Adventure,English,United Kingdom,Unrated,Charlotte Rampling,Jean-Jacques Mantello,844.0,844,0,28,6.5,9.0,42.0,8373379.364107133,6681886.519293947
2443,Donkey Punch,2008-10-29,True,Crime,English,United Kingdom,R,Julian Morris,Oliver Blackburn,1000.0,1558,4,0,5.2,114.0,99.0,20466.618408597362,1002282.9778940921
2444,Doomsday,2008-02-19,True,Action,English,United Kingdom,R,Ryan Kruger,Neil Marshall,165.0,391,197,0,6.0,254.0,113.0,12200484.436772648,33409432.596469738
2445,Doubt,2008-01-02,True,Drama,English,United States of America,PG-13,Philip Seymour Hoffman,John Patrick Shanley,22000.0,33903,53,0,7.5,293.0,104.0,27411265.48019355,16402854.09661281
2446,Drillbit Taylor,2008-12-09,True,Comedy,English,United States of America,PG-13,Lisa Ann Walter,Steven Brill,1000.0,3239,65,702,5.7,146.0,102.0,26944673.17313212,32805708.19322562
2447,Eagle Eye,2008-02-12,True,Action,English,United States of America,PG-13,Rosario Dawson,D.J. Caruso,3000.0,5637,154,0,6.6,215.0,118.0,82926135.48757483,65611416.38645124
2448,Fireproof,2008-05-19,True,Drama,English,United States of America,PG,Kirk Cameron,Alex Kendrick,848.0,1164,589,0,6.5,50.0,122.0,27434986.467645366,410071.35241532023
2449,Flame and Citron,2008-04-15,True,Drama,Danish,Denmark,Unrated,Lars Mikkelsen,Ole Christian Madsen,573.0,1098,28,0,7.3,80.0,45.0,19506.78191668123,6049281.479788679
2450,Flash of Genius,2008-01-13,True,Biography,English,United States of America,PG-13,Dylan Authors,Marc Abraham,20.0,64,18,0,7.0,99.0,119.0,3472517.017961125,16402854.09661281
2451,Fool's Gold,2008-05-25,True,Action,English,United States of America,PG-13,Matthew McConaughey,Andy Tennant,11000.0,13827,72,0,5.6,176.0,112.0,57593862.05199704,57409989.33814483
2452,Forgetting Sarah Marshall,2008-03-30,True,Comedy,English,United States of America,R,Mila Kunis,Nicholas Stoller,15000.0,16758,89,0,7.2,253.0,118.0,51568256.37660953,24604281.144919213
2453,Four Christmases,2008-07-23,True,Comedy,English,Germany,PG-13,Jon Favreau,Seth Gordon,4000.0,9913,91,0,5.6,141.0,88.0,120136047.0,80000000.0
